grid_id,ppi_information_threshold_z,ppi_noise_threshold_z,recovery_information_min_ratio,recovery_noise_max_ratio,valid_scored_rows,baseline_computed_count,computed_count,information_count,noise_count,high_confidence_count,low_confidence_count,computed_relative_change,information_share,information_share_shift,baseline_computed_flip_count,baseline_computed_flip_rate,gridpoint_indicator,overall_scenario_indicator
081_ppi_i2.5_ppi_n1_rr_i1.35_rr_n1.1,2.500000,1.000000,1.350000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
082_ppi_i3_ppi_n0.5_rr_i1.15_rr_n1.02,3.000000,0.500000,1.150000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
083_ppi_i3_ppi_n0.5_rr_i1.15_rr_n1.05,3.000000,0.500000,1.150000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
084_ppi_i3_ppi_n0.5_rr_i1.15_rr_n1.1,3.000000,0.500000,1.150000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
085_ppi_i3_ppi_n0.5_rr_i1.25_rr_n1.02,3.000000,0.500000,1.250000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
086_ppi_i3_ppi_n0.5_rr_i1.25_rr_n1.05,3.000000,0.500000,1.250000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
087_ppi_i3_ppi_n0.5_rr_i1.25_rr_n1.1,3.000000,0.500000,1.250000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
088_ppi_i3_ppi_n0.5_rr_i1.35_rr_n1.02,3.000000,0.500000,1.350000,1.020000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
089_ppi_i3_ppi_n0.5_rr_i1.35_rr_n1.05,3.000000,0.500000,1.350000,1.050000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
090_ppi_i3_ppi_n0.5_rr_i1.35_rr_n1.1,3.000000,0.500000,1.350000,1.100000,48,46,46,34,12,16,30,0.000000,0.739130,0.000000,0,0.000000,stable_grid_point,G_threshold_limited_sensitivity
